label;Text
;@DitjenPajakRI Udah bayar pajak, harus lapor pajak sendiri, telat lapor harus bayar denda..
;@OposisiCerdas Omongannya seperti Dirjen pajak yg ketahuan sama rombongan moge yg nggk pake helm
;@Limbahjenuh @spesiallsambat @DitjenPajakRI Org pajak sibuk ke show room kali
;@DitjenPajakRI Tetap bayar pajak ya, karena belum semua pegawai pajak punya rubicon. Yuk kita patungan buat mereka. Btw gw udah lapor SPT dari awal bulan februari ya, kurang taat apa coba.
;"@_MbakSri_ ??
Kasus penganiayaan itu bak sumbu sebuah mercon besar. Kebetulan pelaku anak seorg Pejabat Pajak. 
Meletus mercon besar duaarrr hatimu sangat kacau..??

?Yang Maha membukakan sesuatu dgn ragam cara..."
;"Kondisi sekarang ini,rakyat sedang kesulitan,di hajar bertubi2.
-pajak naik di semua sektor
-daya beli blnja warga menurun
-banjirnya barang2 impor
-pelaku UMKM pada gulung tikar
-PHK dimana2

Apa di negri ini masih ada manusia seperti seorang lucky hakim?
#NirEmpaty https://t.co/NGZPxFyndX"
;@detikcom Ada hubungan dengan taat pajak kah?
;@allbyyours Apply yuk ?? khan enak makan duit dari pajak rakyat
;@BosPurwa Ngurus pajak mobil gk becus malah ngurus kota
;Paling petugas pajak rame rame minta pindah ke cukai
;@CNNIndonesia Baik nya di audit semua bu...petugas pajak. Kasian rakyat susah payah bayar pajak, mereka menikmati dengan gratis.
;@m_mirah Wong pajak e ga diuber kita yang dikejar. Kue di kejauhan baunya tercium, Tai didepan hidung tidak ada baunya
;Kalo menurut gw mah its ok org bisa aja kaya bs dpt dr warisan, hasil kerja keras dll. Tp harta yg dipunya hrs dilaporin. Ini dia lapor ga? Kalo emg bnr itu hasil korupsi wajar dong iri dan sakit hati. Kita kerja dr pagi sampe malem. Gaji dipotong bayar pajak. Eh dia enak2an???????
;@zanatul_91 @TerongU72356816 Gimana kalau guru stop bayar pajak??
;@kafiradikalis mari kita jaga bapak ini, kita kawal bapak ini. dan kita up beritanyaa teruss. usut tuntas bobrok petinggi2 pajak
;"Melihat kejadian belakangan ini gaya hidup hedon pejabat pajak dan bea cukai, mari Netizen satukan suara untuk meminta @DPR_RI segera mengesahkan RUU Perampasan Aset Tindak Pidana?

Presiden Jokowi telah meminta DPR agar UU ini bisa rampung th 2022 !!! 

#SahkanRUUPerampasanAset https://t.co/Ob9IXlotAS"
;"@detikcom @detik_jateng Anak ama bapak ga jauh beda, bisanya cm  nyusahin rakyat doang!

Kl ke pengusaha, bebas pajak ini itu, ampe puluhan taun..."
;@kangngabei @tatakujiyati Anggaran 350 triliun yg dibanggakan trotoar, JPO Phinisi, beautifikasi sudirman thamrin. JIS biaya 4,5T pagar tribun ambruk. Formula E triliunan, tinggal lintasan balapnya doang. Msih ngutang. Useless utk warga jkt. P Anies jdi presiden uang pajak di hambur2kan minim prestasi. NO https://t.co/XZsYwQyRfE
;@healthy13245678 Wkkk.... ??????kebenaran menemukan jalannya. Peristiwa ini membuka mata rakjel bhw kebanyakan perilaku pejabatnya ternyata ga bayar pajak
;@DitjenPajakRI Pajak untuk moge !!
;@DokterTifa Doakan kloter pertama DIRJEN PAJAK DN DEPKEU
;Klo tiap bln kita liat slip gaji ada pot pajak, brti harusnya kalian yg lapor ke kita, kok malah kita yg suruh lapor...
;DJP: Wajib Pajak Sumut Setor Rp3,43 Triliun di Januari 2023 https://t.co/jkXieLnlRx
;"@DitjenPajakRI Ga berani bahas yg didepan mata min? Contoh ""Gimana caranya pegawai pajak memanipulasi pbb""

https://t.co/MaMZ3QwFka"
;"OPEN JOKI NIH LUR

??Resume / Rangkuman / Review / Jurnal
??PPT
??Joki tulis
??Akuntansi / Ekonomi / Statistika / Manajemen/ Pajak
??Parafrase
??Laporan / Makalah / Proposal / Paper 
?? Kerjain Tugas / Soal UTS/UAS, UH, dll
Wa https://t.co/etoYbqprEg #jokitugas #zonauang???"
;@detikcom Mundur aja bu, bea cukai pajak rusak semua.
;"Orang Pajak Ngemplang pajak, Ahh..
Tai Kucing Loe @TeddGus."
;"@DitjenPajakRI Andai kata gua kerja disini tiap hari minggu gua bakal ke pasar sambil koar2 ""jgn lupa bayar pajaknya, pajak itu utk,oleh,bagi kita bayar pajak jg setahun sekali,Ayo gas pumpung lagi promo"""
;@HermesWijaya @aniesbaswedan @MerryRiana Twit anda seolah-olah menyuruh biar si anies lebih kaya ketimbang pegawai pajak dengan menjadi presiden... Biar apa toh drun.. Biar bisa korupsinya bebas apa drun.... Jadi gubernur aja ngga becus mimpi kalau mau jadi presiden ????
;@PresidenKopi Laporan harta pegawai pajak atau laporan pembayar pajak yg penting...
;@__dtm__ perbedaan upeti sama pajak apaan sih
;"@Boediantar4 Terlalu #DUNGU ..
Jd sruduk #srampangan !!
Kasus Anak Pegawai #Pajak itu kasus si Anak #Pribadi ..
Sbb usia si Anak tsb sdh 20 th. 
Knapa pula malah Instansi Ayahnya yg di datangi ??
#Skedar mikir logika #sderhana spt ini sj #gagal paham ???
#MUAKKK 
??"
;"@DitjenPajakRI Situ yang Potong, situ yang Pake, harusnya Situ yang LAPORIN ke kita. Duit kite dipotong berapa, dipake kemane aje. 

#pajak"
;"""Iya, iya.""

""Kenapa senyam-senyum?""

""Nggak. Rasanya dulu kita nggak pernah ketawa bareng kayak begini.""

""Iya juga, ya. Dulu kita terlalu serius.""

""Benar. Kalau kita bisa bersama lagi, aku mau kita bisa ketawa kayak gini sambil mengisi form pajak bareng-bareng.""

+"
;"Kementerian Keuangan kini sedang menyoroti gaya hidup mewah para anggotanya, termasuk memiliki mobil dan motor mewah. Bahkan Menteri Keuangan, Sri Mulyani, meminta komunitas motor gede (moge) pegawai pajak dibubarkan.

#MedcomID 

https://t.co/uVReAZlLK0"
;@_MbakSri_ Saya gak sependapat dengan Kiai Said Aqil Masa karena perbuatan segelintir manusia satu institusi yg diboikot. Diproses sesuai uu yg berlaku kalau terbukti salah. Masih jauh lebih banyak pejabat yg hidup bersih dan jujur pak Kiai. Pengemplang pajak bisa pesta pora nih ??????
;@amira_suud @jokowi Kalau pak Joko sampai upload foto wisudaan di UGM bersama ortunya, fix gue bakal jd pembela pak Joko, dan rajin bayar pajak. ??
;"@idextratime Sangat-amat menciderai masyarakat. Keinget kasus Jessica kopi sianida, Pak Antasari Azhar, blm lama juga Sambo.

Sekelas maling sendal, ada bukti langsung diproses. Mau laporan diminta biaya admin? Buka freelance aja pak jgn terima gaji dr pajak.

Sumber: https://t.co/t6JgTHfC7k https://t.co/lfUMxEcSc6"
;@DitjenPajakRI Halo orang2 pajak...ayo laporkan harta kekayaanya...
;@geloraco uang rakyat yg di embat yg terluka karyawan instansi pajak..sungguh mulia pemikiran buk sri ini yah...ckckck..
;@Dennysiregar7 TRUS KNAPA?? LU MAU BOIKOT BAYAR PAJAK?? GAK GAJIAN NTAR LU BUZZERRP.. NYAHOKK LU. MAKANYA JANGAN DIPISAH PERTENGKARAN INI. PENGEN TAU GW YG SALAH PILIH LAWAN ITU SIAPA ????
;Pajak memang Biadab..., yg Beradab adalah..., Zakat, Infak, Sodaqoh... yg Besarannja ditentukan Sendiri dgn Batasan tdk boleh melebihi 30% dari Pendapatan, Secara Umum ada Aturannya dn Contoh https://t.co/CYEjdkivfN
;@kring_pajak Blm pernah kak. Apakah bisa online?
;Di kotaku dikantor pajak parkirnya gratis lho??
;@nandosbs_ @kafiradikalis Krn pajak di indo kan self declare.tergantung kejujuran yg lapor aja.cb klo kaya negara lain ya mampus...negara yg menetapkan pajak per orang nya brp.ntah lu dpt duid drmana asal udah di tetapkan sekian ya kudu byr.walopun sebenernya gak sampe segitu duidnya.
;"Contoh pejabat yang hanya mengandalkan konten saja..

@prasto .... pajak nih"
;Sebaiknya Kita Tunda Jangan Bayar Pajak Dulu Hingga akhir thn2024.
;@DitjenPajakRI Apaaaaa!!!pajak kita untuk kita????..bukan untuk penjabat ya ..(sebahagian)
;Sri Mulyani Diserang Pegawai Pajak Usai Bubarkan Klub Moge BlastingRijder DJP , Netizen: Digoyang Tikus... https://t.co/DhTCXYuzSL
;@pengarang_sajak Mungkin Kalau korbannya org kecil, org biasa ramai jg cuma akan berakhir Damai dg Meterai 10 rb, Boikot pajak??? emangnya berani? ngga byr pajak akan berujung penyitaan dan bui, yg jelas Bu SMI sudah berusaha maksimal berkerja, 1 org jujur ttp akan kalah melawan 100 bajak laut??
;@joejack40 @prastow Betul, baru kali ini saya dengar sebagian kegiatan pembangunan jalan tol dibiayai dgn uang pajak
;@tvOneNews Rakyat terus dipajaki, oknum petinggi bebas. Duit receh hasil kerja, kena pajak. Beli kebutuhan sehari-hari, kena pajak. Keluar duit, kena pajak ????
;@prastow Baru tau saya bahwa sebagian pembangunan jalan tol dibiayai dgn uang pajak, emang boleh pak?
;"@kring_pajak #LupaEFIN 
a. Wp pribadi a/n iwan santoso
b. Sudah pernah log in tapi lupa efin"
;"@KemenkeuRI Cieeee...

Sibuk ni yeee

Tetap gak ngubah bhw ada sebagian pajak atau uang sumber APBN yg ""terpakai"" oleh oknum.

Lagian kalau rakyat bayar pajak, yg pertama tambah kaya ya orang-orang elu"
;@tempodotco Die yg korup masyarakat yg di salahkan ndak patuh bayar pajak, ndak ade otak ke ape wkwk
;"Mahfud MD Dorong Mario Anak Pejabat Pajak Dijerat Pasal 354 dan 355 KUHP, Ancaman Maksimal 12 Tahun Bui 

https://t.co/UZWFfmKMBA"
;@DitjenPajakRI Gk mau bayar pajak deh pak karna nanti duit gw dipake lg sama pejabat
;Out of nowhere tiba2 kepikiran, karna banyak banget yg ngatain org pajak. Ga bermaksud membela, tapi kasian juga sm pegawai pajak yg cuma jalankan tugasnya, pegawai biasa yg gatau menau soal kjhtan org pajak, jd kena getahnya juga. Rasanya pasti sakit sih
;"Kasus penganiayaan yang dilakukan oleh Mario Dandy Satrio ternyata berimbas kepada karir bapaknya di Direktorat Jenderal Pajak yakni Rafael Alun Trisambodo. Jika kita melihat isi ""garasi"" Rafael Alun, ternyata hanya ada 2 kendaraan saja.

#MedcomID 

https://t.co/G6Oq5ZTLte"
;@CarsimAcim @aniesbaswedan @PKSejahtera Berak saja harus bayar kok kendaraan bebas pajak, otak gebleg dipaksakan, terus infrastruktur biaya perawatan dr mana
;@M45Broo Jadi ingat, Pengalaman teman pengusaha yg dikuras oleh oknum pegawai pajak.????
;@ZoneBrilian @kafiradikalis Ya makanya otak lu dipakai, kalau tidak terindikasi kenapa sampau tidak ditindaklanjuti sampai 2th??? Kalau bersih ya langsung saja di selesaikan. Kalau bisa mengelola keuangan, tidak cuma bisa berhutang, menaikkan pajak rakyat kecil, dan memangkas subsidi.
;Pemikiran dangkal lahir dari manusia yg otaknya sedikit sehat banyak konsletny. Korupsi dibilang bonus wkwk BAPAK LO NYARI DUIT SAMPE KERINGET KEPANTAT BUAT  TAAT PAJAK, DUITNYA DI AMBIL BAPAKNYA MARIO DANDI BUAT BELI RUBICON. LO ORANG YG BAYAR PAJAK MASI NAIK SUPRA??
;@alisyarief Kalau sdh tahu, kenapa tdk di follow-up? DirJen Pajak (DJP) saja, apabila terdapat ketidaksesuaian data/profil, DJP akan langsung menerbitkan Surat Permintaan Penjelasan atas Data dan/atau Keterangan (SP2DK) kpd WP. Apa KPK tdk punya cara² seperti itu?
;Said Aqil Siroj akan Ajak Warga NU Tak Bayar Pajak Jika Uangnya Diselewengkan https://t.co/gmaKyt6tJa
;@detikcom Pantesan dengan mudahnya menaikkan PPN dari 10% menjadi 11%..lha wong dirinya sendiri ga taat pajak..
;@DitjenPajakRI Ya Allah... Jadikan semua pegawai pajak yang korupsi hidupnya sengsara sampai anak cucunya. Sesunggungya mereka menzolimi umat. Aamiin
;@txtdariterserah Stop bayar pajak
;@CNNIndonesia Pak Kyai yang saya kagumi, justru kalau ketangkap menyelewengkan Pajak, kita apresiasi kepolisian dan penegak hukum. Oknum pengemplang ini yang harus dihukum dan dibuat miskin supaya mereka tidak main main dengan uang rakyat.
;@Incipientium wajib bayar pajak guys
;@detikcom Tegakkan dulu sanksi kepada para pejabat pajak yang ngemplang pajak, baru ke rakyat..
;Deretan Kasus Hukum yang Menjerat Pejabat Pajak dalam 2 Tahun Terakhir https://t.co/etaPBT5W6J
;@DitjenPajakRI Pajak pajak min kerjaanmu makin berat,,ngetiknya sambil meren mata hatinya??
;"@ajengcute16__ Masalah pegawai pajak hidup mewah sudah dari dulu, bkn rahasia lagi. 
Sebaiknya jenk bond menjadikan ""Gayus Tambunan"" sbg maskot taat pajak."
;"@knpiharis @KemenkeuRI @KPK_RI @kanal_kpk Bang sudah bang, cuma bikin gemes.
Kayaknya percuma saat ini, masa iya yg kaya gitu pada ngga tau.
Dirjen Pajak, Dirjen Bea Cukai, Keuangan, Perindustrian dan Perdagangan nanti semua diaudit ya Pak @aniesbaswedan kalau sudab jadi Presiden. Untuk saat jni saya ga terlalu berharap."
;@CNNIndonesia 15 tahun lalu, aku ikut hunting photo dari club photografer pegawai pajak. Kaget?....pasti. pegawai baru, kerja satu tahun bisa beli perlengkapan kamera hampir 100 juta. Lebih kaget lagi, pegawai bea cukai ??. Semua tahu fenomena ini, aneh saja pemerintah baru audit pegawainya.
;@adypanha @CNNIndonesia Ini mah pikirannya sdh turun temurun ala kerajaam Mataram.. yg makmur hidupnya dari pajak..
;@DitjenPajakRI halo, saya ga lapor pajak ??
;@CNNIndonesia Tar di usir loh minggat dari Indonesia ga bayar pajak sama Bu Sri Mulyani https://t.co/Yev82y5wrF
;"Orang bijak taat pajak?
Yg bener
Orang pajak bayar pajak"
;@asumsico Wkwk yah sebenernya udh rahasia umum dimana pegawai pajak, pegawai bea cukai, itu emg pada kaya kaya gaes??, yahhh duit drmana ya tanya rumput yg bergoyang coba
;@IwanPangka @BismaBara @penguasahati Satunya dihidupi dr pajak rakyat, satunya dr hasil mbuzer, sami mawon
;@KompasTV Berita terkait ini terus berlanjut hampir menutupi besok Akan adanya Kenaikan Harga BBM ,..semua media dan Para Petinggi ini ikut dalam Berita Viralnya Problematika anak Muda yang Kebetulan Orang Tuanya Memiliki Posisi yg satu Petinggi Ormas Besar di Negeri ini dan Pejabat Pajak
;@a_maciko @detikcom @detik_jateng Ah masa? Yang bener? Tau dari mana mobil plat  merah nggak bayar pajak? Ada gitu aturannya? Kalau nge twit mbok yang bener lho jangan asal ketik tanpa dasar
;"Pak Presiden @jokowi ,

sekedar mengingatkan batas waktu lapor SPT Tahunan wajib pajak orang pribadi adalah tanggal 31 Maret

@ItjenKemenkeu 
@DitjenPajakRI  
@KemenkeuRI 

#UangKita"
;"@logikapolitikid Biadabnya ....orang pajak gk byar pajak....kita"" yg kere sja taat pajak....bangsat mmg"
;@CNNIndonesia Saya curiga klo bayar pajak nanti di korupsi orang orang selanjutnya, mending gak usah bayar dulu lahh
;"@piokharisma 1. Karena dpt dimungkinkan memiliki pendapatan lain selain yg sdh dipotong pemberi kerja (dpt honor freelance, pembicara, jualan barang/jasa dll yg blm dipotong pajak). Jadi seluruh pendapatan dikumpulkan dan dilaporkan.
2. Ada sanksi dendanya, sampai diperiksa."
;@CNNIndonesia Kalau g bayar pajak, nanti pemerintah yg anda dukung ini utangnya makin menggunung.
;Deretan Kasus Hukum yang Menjerat Pejabat Pajak dalam 2 Tahun Terakhir https://t.co/s5Q5drkrM1 #TempoBisnis
;"@Gank_Of_Petojo Setuju!!!!!
Perampok hang pajak jangan tinggal di Indonesia"
;@CNNIndonesia Sudah ancur, kebanyakan oknum mafia perpajakan. Dapat duit receh hasil kerja, kena pajak. Beli makanan, kena pajak. Keluar duit utk apapun kena pajak. Semua dipajaki. Rakyat terus dipaksa bayar ?? ??
;@kegblgnunfaedh Bismillah tahun ini duit bapaknya bayar seluruh pajak rakyat Indonesia. Aminnnn
;@detikcom Mobil dinas gak bayar pajak itu salah, tp yg lebih salah misalnya modin dipake buat liburan keluarga, buat mudik, ato buat nyajak selingkuhan shoping.
;"@democrazymedia Ah masa??!
Bukan kebalik...
Mayoritas pegawai pajak yg gak.jujur merasa dikhianati..."
;@DitjenPajakRI Tuh akun mending ganti, Pajak Kita untuk Kita... diembat sendiri
;@Ariefstoro @narkosun Wah ntar bisa dijadikan ikon pajak nih, ya nggak @DitjenPajakRI
;@Rvlbs1 @DitjenPajakRI @KPK_RI @mohmahfudmd jangan hanya pajak tolong yang lainya juga https://t.co/VkWe73Adq9
;@txtdrpemerintah Solusi tepatnya bukan gak bayar pajak.tpi selidiki semua yg makan duit pajak dan hukum dgn transparan ke rakyat kayak hukuman mati gtu dll.
;"@OnlyFrens Tiba2 besok Bu Sri silaturahmi ke SAS bawa sesuatu warna coklat.
Lusanya SAS konpers : ""mohon maaf kmrn saya hanya becanda, ayoo semua taat bayar pajak, yaa!"" ????"
;@DitjenPajakRI Ayo bayar pajak biar pejabat pajak makin kaya raya wkwkwkwkwk
;@julerocks @DitjenPajakRI Jadilah pengelia pajak yg baik https://t.co/PvlpvIQbP4
;"Welcome March 
Inget bayar pajak ??"
;Agnes ini sumber dari semua masalah, tp dia maunya cuci tangan. Tenang aja netijen Indonesian tidak akan lepaskan begitu aja. Sekelas jendral bintang 2 aja sampe hukuman mati. APalagi bocil dan anak pejabat pajak.
;@prastow pajak adalah nadi,tapi urat nadinya dipotong sendiri...????????
;Mirip kasus Timor, apakah ada yang tahu bayar pajak impor built up atau bebas sebagai mobnas? https://t.co/zpvtaCExmy
;@CNNIndonesia Fenomena Viral Gunung Es terlihat ketika terjadi Problematik pada Anak ASN Dirjen Pajak di Negeri ini..seharusnya ini bisa mnjadi gambaran Bahwa Pemerintah Jor-Joran  memberikan Fasilitas Tunjangan Gaji dan Bonus Yg Mlimpah terhadap Kondisi ASN saat ini,.seakan di manjakan Rezim
;@OposisiCerdas Rakyat tdk akan marah... Paling tdk akan bayar pajak
;@KompasTV Rakyat memang tidak percaya lagi dengan petugas pajak
;@Yusuf_izeckkson @andy_dodot @DitjenPajakRI kak kamu bayar pajak apa sih soalnya pajak itu banyak macemnya.. terus kamu ngributin mereka yang mana.. terus arah pertanyaanya kemana nih kak
;"@CNNIndonesia Ya gk gtu jg qontoll. 
Harusnya tuh: ""ancam tak bayar pajak jika Kemenkeu tdk bersih2 dan tindak hukum rafael  dan semua orang2 yg kayak dia (jika terbukti salah) ""."
;@CNNIndonesia Ngikut aja mana bagusnya. Disuruh bayar pajak hayo, di suruh berhenti bayar pajak Oke, Gimana asik nya aja sih
;"@Ghurem2 @DitjenPajakRI ??

Yang utama perlunya pengawasan
dan atau kontrol thdp pengusaha²
yg sering² malakukan ttg Restitusi
Pajak (Credit Nota).
https://t.co/cSssKHu1Uu"
;"@HabiebBass Bntr OTW byar pajak dlu yaa...

Ehh iya bayar pajak tuh di mana dah..?????"
;Apakah Rakyat harus menyetor Pajak Agar Petugas Pajak Mencuri Duit Pajak https://t.co/NwimVPFouT
;"Ini lah kadang 2,semua mau dikenai pajak,sdh ngak logis lg,itu laut kita sangat luas,sdg di darat,kerusakan total lahan &amp; infrastruktur krn penambang,berapa persen pajaknya ?
@jokowi @KemenkeuRI @SitiNurbayaLHK @DPR_RI @DPDRI"
;@alatasdarmin @syahruleclaire @keladitumbuk_ @atmjandre @affhiyyahdeck @hanmula @logikapolitikid @DitjenPajakRI kalo rubicon mah nunggak pajak, yang ga ada pajaknya itu harleynya (np), santuy bang ????
;Ndak jadi, males servis dan bayar pajak
;@prastow Pajak oh pajak.... hanya kRena uang seorang wanita 15 tahun, kebuka dah semuanya..
;@DitjenPajakRI Stop lah bayar pajak. Penggunaannya juga gk jelas, di korupsi iya
;Ditlantas Polda Sulsel Imbau Masyarakat Agar Taat Bayar Pajak dan Lapor Kendaraannya #PoldaSulsel https://t.co/s4vHsWx2Gp
;"@DitjenPajakRI Bull Sh*t ini video… segera lakukan mass cleansing di jajaran Kemenkeu terutama pajak &amp; bea cukai. Jangan membodoh2i rakyatmu terus dgn video2 yg tak bersubstansi. Cuih ??"
;@CNNIndonesia Dg menunggak pajak...
;@otongkoil Dirjen pajak
;@marlina_idha Pajak Kendaraan Bermotor teknis pengutipan dan tanggung jawabnya ada di Gubernur SI,  dan Dirlantas nyong.. bukan di Kemenkeu..
;"@txtdrpemerintah bayar pajak mah wajib pak
adanya oknum jangan dijadikan alasan untuk ga bayar pajak."
;Lah kagak.bayar pajak negara bangkrut..jgn ngajarain gak bener.
;Gua bilang juga apa jangan bayar pajak dari dulu juga, sebab orang pajaknya aja tau kalo rugi bayar pajak
;@DitjenPajakRI Monggo yang mau bayar pajak. Masih banyak pegawainya yang belum punya rubicon.
;"Mending pajak anda untuk biayain rubicon anak pegawai pajak apa untuk perang di negara lain? 
#mendangmendingmatamu"
;@Tu_Kuba_ @piotr_pajak_ @ekinlolCA @neraminlol @Silv4nn @Bezi_lol @MagvayerLOL Wszystko dla Was
;@DitjenPajakRI Gak bayar pajak dipekso. Deloken sing wong arep berobat ae dipersulit cok. Gak pegawai pajak gak pegawai rumah sakit gak ngerti rakyat e cok
;Iya gapapa, gw jg males kudu wajib lapor pajak terus duit gw diembat.
;@DitjenPajakRI Dari Rakyat Oleh Rakyat Untuk Kemakmuran PEGAWAI PAJAK
;Najgorzej jak w rogu sufitu siedzi taki wielki paj?k i trzeba go ubi?. https://t.co/VOafGgySME
;@detikcom Malah sak retiku barang dinas ndak perlu ada urusan sama pajak. Wkwk
;@detikcom Benahi dulu tuh mental org2 pajak. Itu uang rakyat. Jangan dipakai unt kepentingan pribadi.
;"@Tepo_Saliro @AndiSinulingga Yg disebut pengelola pajak itu bukan hanya pegawai pajak, tapi jg para pejabat publik yg gunakan pajak tsb utk pembangunan buat sejahterakan rakyat. Pejabat publik adl para politikus. Presiden &amp; mentrinya, DPR, Gub, Bupati dll. Mrk semua yg krlola &amp; putuskan pajak akan diapakan."
;@kring_pajak Waktu PPS saya bayar pajaknya 2.8 JT cara pelaporannya bagaimana
;Ayo semangat bekerja, dan jgan lupa bayar pajak!
;"@kafiradikalis Saya mencoba cari, apa perbuatan SMI dan Dirjen yg terindikasi merugikan keuangan negara.

Coba ""Surat DPR"" juga dishare.

Tpi juga jgn membela RAT membabibuta jg.. itu keliru..

Pertanyaan bagus, knp tsk korupsi tdk dikenakan tindak pidana pajak?

Kenapa hayoo"
;@detikcom @detikcom jadi partner media nya kemenkeu bgt buat ngegonggong pajak. Kemenkeu sadar diri bgt udah ga bisa malak pajak dikondisi saat ini.
;@kring_pajak @DitjenPajakRI pagi admin, pendapatan bunga Reksadana terproteksi kan tidak di potong pajak, jadi Apakah Wajib pajak di haruskan untuk byr pajak dari pendapatan bunga  Reksadana terproteksi?
;@amirulirta @SiaranBolaLive Sadis dinas pajak bro.....
;@DitjenPajakRI gamau ah bayar pajak
;@kring_pajak @yusufidhza_ @DitjenPajakRI pagi admin, pendapatan bunga Reksadana terproteksi kan tidak di potong pajak, jadi Apakah Wajib pajak di haruskan untuk byr pajak dari pendapatan bunga  Reksadana terproteksi?
;"Pelaporan untuk pegawai pajak gimana caranya min @DitjenPajakRI ? 
Kan masih ada 13.000 pegawai yg blm lapor pajak tuh."
;@pleasures__ @mlbbfess waduh jangan buka kartu pajak disini we ngewe
;@toleselalunt @mlbbfess bisa ngurus pajak juga tuh
;bisakah membayar pajak motor tanpa ktp pemilik
;@idextratime Udah jelas masalahnya knp lu gak dapat centang biru min, Twitter aja bayar pajak ??
;@CNNIndonesia kalau dipikir2 penjara sekarang saja sudah overcapacity kalau ini banyak orang tidak mau bayar pajak pun pemerintah bisa apa denda mereka lebih tidak mau bayar pidana ada problem kapasitas, lagipula yang korupsi saja banyak yang aman masak yang telat pajak dipenjara
;@Trollbukantroll @detikcom Gmn tak lemah, di denda cuk. Si bapak tsb enak ngomong doang. Usaha kita di tutup klo tak bayar pajak. Ga mngkin bisa kita lawan itu pmerintah.
;@DitjenPajakRI Gakpa2 sekarang kita lapor pajak drpada di uber2 dan diancam denda, ntar di akhirat kita nonton pengelola pajak laporan pertanggungjawaban nya atas pengelolaan amanah ini *PAJAK UNTUK RAKYAT
;@Obyfabianeros @ListyoSigitP @CCICPolri @poldametrojaya @DivHumas_Polri @IpungLombok @Gojekmilitan @BarisanOpOsisi @YunusAntares @pujiwidodo219 @FatihGaleh @MuflyAhmad1 @HambaAllah_411 @sutanmangara @hipohan @tijabar @PutraMarbau Ditunggu hasil penyelidikan dan pastinya sidang pengadilannya semoga terbuka fakta jujur sebenarnya dan transparan tanpa tekanan kekuasaan dan uang. Mari gelar tiker, petugas pajak vs pembayar pajak dan pasukan Dandy vs pasukan David.
;@detikcom Nderek yai,yang wajib itu sholat bukan pajak
;@Gank_Of_Petojo Klo ngerampok duit pajak rakyat , JANGAN LOE TINGGAL DI INDONESIA !!! ???????????? https://t.co/0fqaBXKuwJ
;Cara lapor pajak gimana sih anjir? Kagak ngerti gua. Deadlinenya masih lama sih, tanggal 31.
;"Emg skrg lg bnyk drama dari oknum pegawai pajak, tapi kalo sampe semua warga negara gak bayar, bangkrut negara kita.

sy akan ttp bayar pajak ?? 

(walopun agak kesel sih)"
;@txtdariterserah Yg jelas semua pegawai pajak dan bea cukai sekarang rame2 belajar sama baim wong.. Belajar nyamar jadi orang gembel biar ga ketahuan????
;Gegara Mario Dandy Satriyo, Sri Mulyani dimarahi pegawai pajak - Jakarta Insider https://t.co/tFJvI5cSxX
;"@CNNIndonesia Bapak. Kalau mau menghasut, dipikir2 juga. Kalau bapak mau indonesia hancur, jangan ajak2 yang lain, bapak tinggalkan aja indonesia. Saya masih cinta dengan negaraku. 

Btw, bapak taat pajak kan? Jangan sampai kalau di cek, bapak gak bayar juga atau ada yang disembunyikan. ????"
;"@kurawa Ya gimana, krn emang udah kewajibannya buat bayar. Toh juga sebenernya sadar ga sadar duit pajak anda jg udah anda (dan warga lain yg ga wajib bayar) nikmatin lewat tol, bpjs, dana bos, subsidi, dana bantuan dsb

Anda ga mikir tiap taun kita nyetak duit buat APBN kan? :)"
;@CNNIndonesia tidak ada urusan terkait jumlah pajak yg bapak bayar dgn nominal rekening rafael :(, yg ada jika memang ybs melakukan penyelewengan, yg diselewengkan adalah pajak org/badan yg menunggak atau tidak membayar, he's doing a negotiation there, sekali lagi jika memang ybs melakukan
;"@arulelreal @tatakujiyati Perubahan apa yg mau kalian usung ?
Pertanyaan ini tdk pernah terjawab ??

Lah buat si dia jelas pesimis lah, lihat kinerja dia di DKI, banyak rangkaian kata yg di buat

Mau contoh DP 0 aktualnya gimana ?

Soal pajak yg digelorakan bukannya konsep era sebelum dia sdh ada ??"
;@dr_koko28 Klo ada pegawai pajak sakit, lsg sunting mati aja. Biar dia lsng disidang tanpa 100 pengacara, tanpa uang suap, tanpa bekingan aparat, tanpa jaksa bodong dan hakim mata duitan.
;"Bisakah thn 2023 ini Rakyat Indonesia BEBAS PAJAK ?  @KemenkeuRI @DitjenPajakRI 
Jadi yg bayar pajak FULL perusahan2 nakal yg 'join' dgn bla bla blaa
#KawalDavid #BukanPunyaSaya 
#PajakKitaUntukPejabat 
#PajakKitaUntukBeliRubicon 
#pajakkitauntukkita 
#BersihkanKoruptor"
;@dprhiburanmalam mumet lali rung bayar pajak rubicon
;@DitjenPajakRI malas membayar pajak negara indon
;@voxjournalistkw Yang lu minta pajak 10% kok ga dijelasin
;"Mulai..... kemarin pada kemana?

Laporan Harta Pejabat Pajak Melonjak, Tersisa 807 Belum Lapor LHKPN https://t.co/EpptrS2uDy"
;@marian_baczal @CzerwonaZaraza @m_krzyzynski Ha! D?ugie obcowanie z @m_krzyzynski uwra?liwi?o mnie na ?wist przyrody. Dzi?ki temu mog? ?mia?o odpowiedzie?, ?e to paj?k.
;Sepakat kah Anda jika Dirjen Pajak dan Dirjen Bea Cukai di Copot / di Ganti ?
